"MoreUnit","Jump to Test/Source","⌃9","Editing Text"
"Views","JavaScript Script Explorer","⌥⌘Q P","JavaScript View"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Terminal view commands","Copy","⇧⌃C","Terminal widget context"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Edit","Delete","⌦","In Windows"
"MoreUnit","Jump to Test/Source","⌃9","Editing Java Source"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Run/Debug","Rerun JUnit Test","⇧⌃0","Editing Java Source"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks View"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"File","Properties","⌘I","In Windows"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Navigate","Open Declaration","⌘4","In Windows"
"Edit","Select Enclosing Element","⇧⌃↑","Editing JavaScript Source"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Search","Open Search Dialog","⌃H","In Windows"
"Text Editing","Collapse All","⌘[","Editing Text"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Refactor - JavaScript","Extract Function","⌥⌘M","JavaScript View"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Navigate","Next Page","⌥F7","In Windows"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Source","Mock Dependencies in Test Case...","⇧⌃⌥M","Editing Java Source"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Terminal view commands","Terminal view insert","⌥R","Terminal widget context"
"File","Save All","⇧⌘S","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Text Editing","Text Start","↖","Editing Text"
"Edit","Find Next","⌘K","Editing Text"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing Java Source"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Edit","Word Completion","⌃.","Editing Text"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"Navigate","Next Page","⌘F5","Using Web Page Editor"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Edit","Select Next Element","⇧⌃→","Editing Java Source"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Navigate","Quick Outline","⌘O","PDE editor"
"Navigate","Activate Task","⌘F9","In Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Source","Format","⇧⌘F","Editing Java Source"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"EMF Code Generation","Generate Code","⇧⌥G","In Windows"
"Source","Create Test Method","⌃U","Editing Java Source"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Edit","Find and Replace","⌘F","In Windows"
"Database Tools","Run","⌥⌘R","Editing SQL"
"Server","Publish","⌥⌘P","In Servers View"
"Navigate","Quick Outline","⌘O","Editing JavaScript Source"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Navigate","Deactivate Task","⇧⌘F9","In Windows"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Edit","Incremental Find","⌘J","Editing Text"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥W","Terminal widget context"
"Uncategorized","Copy","⌘C","In Git Reflog View"
"Edit","Select Previous Element","⇧⌃←","Editing Java Source"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Run/Debug","EOF","⌃D","In I/O Console"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"File","Close","⌘W","In Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"File","Rename","F2","In Windows"
"Text Editing","Line End","⌘→","Editing Text"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Navigate","Next Page","⌘F5","In Faces Config Editor"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"File","Properties","⌥↩","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Text Editing","Next Word","⌥→","Editing Text"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Navigate","Backward History","⌘[","In Windows"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Text Editing","Expand All","⌘]","Editing Text"
"Run/Debug","Run JUnit Test","⌃0","In Windows"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"ASA 9.x table schema editor","Cut","⌥X","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing JavaScript Source"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Task Repositories","Quick Outline","⌘O","In Tasks Editor"
"Run/Debug","Step Into","F5","Debugging"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Server","Stop","⌥⌘S","In Servers View"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","⌥S","Terminal widget context"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"File","Refresh","F5","In Windows"
"Source","Run Tests","⌃0","Editing Java Source"
"Navigate","Previous","⇧⌘.","In Windows"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Navigate","Go to Line","⌘L","Editing Text"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Git","Pull","⌘P","In Windows"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Source","Run Tests of Selected Member","⇧⌃⌥R","Editing Java Source"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"View","Zoom Out","⌘-","In Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Window","Quick Access","⌘3","In Windows"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Terminal view commands","Terminal view insert","⌥N","Terminal widget context"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Server","Run","⌥⌘R","In Servers View"
"Text Editing","Delete Line","⌘D","Editing Text"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Edit","Rename","⇧⌥R","Editing JSP Source"
